ORIGIN,FUNCTION_IN_ORIGIN,FUNCTION_AT_DESTINATION_1,FUNCTION_AT_DESTINATION_2,FUNCTION_AT_DESTINATION_3,Family,Subfamily,Activity description,Glycan_annotation,Substrate annotation taken from characterized enzyme description CAZy.org,dbCAN3_Substrate_curated,dbCAN3_Substrate_high_level,Agreement,Comments,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_23,"a-glucosyltransferase (EC 2.4.1.-);[retaining] oligo-a-1,6-glucosidase (EC 3.2.1.10);a-glucosidase (EC 3.2.1.20);a,a-trehalase (EC 3.2.1.28)","starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_24,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_25,[retaining] 4-a-glucanotransferase / amylomaltase (EC 2.4.1.25),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_26,malto-oligosyltrehalose synthase (EC 5.4.99.15),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_27,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_28,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_29,"a-glucosidase (EC 3.2.1.20);[retaining] a,a-trehalose-6-phosphate hydrolase (EC 3.2.1.93)","starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_30,a-glucosidase (EC 3.2.1.20),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_31,"Hexosyltransferases (EC 2.4.1.-);oligosaccharide a-4-glucosyltransferase (EC 2.4.1.161);palatinase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] oligo-a-1,6-glucosidase (EC 3.2.1.10);a-glucosidase (EC 3.2.1.20);glucodextranase (EC 3.2.1.70);[retaining] isomaltulose synthase / sucrose isomerase / sucrose glucosylmutase (EC 5.4.99.11)","starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_32,[retaining] a-amylase (EC 3.2.1.1);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_33,trehalose synthase / maltose glucosylmutase (EC 5.4.99.16),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Animal,Fungi,Bacteria,Plant,Algae","Storage,Structural","Glycogen,DF","Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_34,"NO KNOWN ACTIVITY; Hexosyltransferases (EC 2.4.1.-);[retaining] acarviosyltransferase (EC 2.4.1.-);a-1,4-glucan synthase (EC 2.4.1.-);a-glucosyltransferase (EC 2.4.1.-);oligosaccharide a-4-glucosyltransferase (EC 2.4.1.161);[retaining] a-1,4-glucan branching enzyme (EC 2.4.1.18);a-1,3-glucan synthase (EC 2.4.1.183);[retaining] cyclomaltodextrin glucanotransferase (EC 2.4.1.19);[retaining] 4-a-glucanotransferase / amylomaltase (EC 2.4.1.25);[retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329);Glucosylglycerate phosphorylase (EC 2.4.1.352);[retaining] glucosylglycerol phosphorylase (EC 2.4.1.359);[retaining] amylosucrase (EC 2.4.1.4);[retaining] sucrose phosphorylase (EC 2.4.1.7);a-1,4-glucan: phosphate a-maltosyltransferase (EC 2.4.99.16);[retaining] cyclic a-1,6-maltosyl-maltose hydrolase (EC 3.2.1.-);[retaining] maltopentaose-producing a-amylase (EC 3.2.1.-);a-glycosidase (EC 3.2.1.-);a-glycosidase hydrolyzing pullulan, starch and g-cyclodextrin (EC 3.2.1.-);palatinase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] oligo-a-1,6-glucosidase (EC 3.2.1.10);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116);[retaining] maltogenic a-amylase (EC 3.2.1.133);[retaining] neopullulanase (EC 3.2.1.135);[retaining] maltooligosyltrehalose trehalohydrolase (EC 3.2.1.141);a-glucosidase (EC 3.2.1.20);a,a-trehalase (EC 3.2.1.28);[retaining] pullulanase (EC 3.2.1.41);[retaining] sucrose a-glucosidase (EC 3.2.1.48);[retaining] cyclomaltodextrinase (EC 3.2.1.54);[retaining] maltotetraose-producing a-amylase (EC 3.2.1.60);[retaining] isoamylase (EC 3.2.1.68);glucodextranase (EC 3.2.1.70);[retaining] a,a-trehalose-6-phosphate hydrolase (EC 3.2.1.93);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98);[retaining] isomaltulose synthase / sucrose isomerase / sucrose glucosylmutase (EC 5.4.99.11);malto-oligosyltrehalose synthase (EC 5.4.99.15);trehalose synthase / maltose glucosylmutase (EC 5.4.99.16)","starch,pullulan,dextrin,glycogen",yes,,,,,,,,,,,,,,,,
"Animal,Fungi,Bacteria,Plant,Algae","Storage,Structural","Glycogen,DF","Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_35,"NO KNOWN ACTIVITY; Hexosyltransferases (EC 2.4.1.-);[retaining] acarviosyltransferase (EC 2.4.1.-);a-1,4-glucan synthase (EC 2.4.1.-);a-glucosyltransferase (EC 2.4.1.-);oligosaccharide a-4-glucosyltransferase (EC 2.4.1.161);[retaining] a-1,4-glucan branching enzyme (EC 2.4.1.18);a-1,3-glucan synthase (EC 2.4.1.183);[retaining] cyclomaltodextrin glucanotransferase (EC 2.4.1.19);[retaining] 4-a-glucanotransferase / amylomaltase (EC 2.4.1.25);[retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329);Glucosylglycerate phosphorylase (EC 2.4.1.352);[retaining] glucosylglycerol phosphorylase (EC 2.4.1.359);[retaining] amylosucrase (EC 2.4.1.4);[retaining] sucrose phosphorylase (EC 2.4.1.7);a-1,4-glucan: phosphate a-maltosyltransferase (EC 2.4.99.16);[retaining] cyclic a-1,6-maltosyl-maltose hydrolase (EC 3.2.1.-);[retaining] maltopentaose-producing a-amylase (EC 3.2.1.-);a-glycosidase (EC 3.2.1.-);a-glycosidase hydrolyzing pullulan, starch and g-cyclodextrin (EC 3.2.1.-);palatinase (EC 3.2.1.-);[retaining] a-amylase (EC 3.2.1.1);[retaining] oligo-a-1,6-glucosidase (EC 3.2.1.10);[retaining] maltotriose-producing a-amylase (EC 3.2.1.116);[retaining] maltogenic a-amylase (EC 3.2.1.133);[retaining] neopullulanase (EC 3.2.1.135);[retaining] maltooligosyltrehalose trehalohydrolase (EC 3.2.1.141);a-glucosidase (EC 3.2.1.20);a,a-trehalase (EC 3.2.1.28);[retaining] pullulanase (EC 3.2.1.41);[retaining] sucrose a-glucosidase (EC 3.2.1.48);[retaining] cyclomaltodextrinase (EC 3.2.1.54);[retaining] maltotetraose-producing a-amylase (EC 3.2.1.60);[retaining] isoamylase (EC 3.2.1.68);glucodextranase (EC 3.2.1.70);[retaining] a,a-trehalose-6-phosphate hydrolase (EC 3.2.1.93);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98);[retaining] isomaltulose synthase / sucrose isomerase / sucrose glucosylmutase (EC 5.4.99.11);malto-oligosyltrehalose synthase (EC 5.4.99.15);trehalose synthase / maltose glucosylmutase (EC 5.4.99.16)","starch,pullulan,dextrin,glycogen",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_36,[retaining] a-amylase (EC 3.2.1.1);[retaining] maltogenic a-amylase (EC 3.2.1.133);[retaining] cyclomaltodextrinase (EC 3.2.1.54),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_37,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_38,a-glucosidase (EC 3.2.1.20),"starch,dextrin",yes,,,,,,,,,,,,,,,,
"Fungi,Plant,Algae","Storage,Structural",DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_39,[retaining] a-amylase (EC 3.2.1.1);[retaining] pullulanase (EC 3.2.1.41),"starch,pullulan",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH13,GH13_40,"[retaining] oligo-a-1,6-glucosidase (EC 3.2.1.10);a-glucosidase (EC 3.2.1.20);glucodextranase (EC 3.2.1.70)","starch,dextrin",yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_41,[retaining] a-amylase (EC 3.2.1.1),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH13,GH13_42,[retaining] a-amylase (EC 3.2.1.1);[retaining] maltohexaose-producing a-amylase (EC 3.2.1.98),starch,yes,,,,,,,,,,,,,,,,
"Plant,Algae",Storage,DF,Resistant_starch,Amylose_and_Amylopectin,GH14,GH14,β-amylase (EC 3.2.1.2),starch,yes,"starch, glycogen and related polysaccharides and oligosaccharides",alpha-glucan,"Agree, in favor of our annotation",based on reported function,,,,,,,,,,,,
"Plant,Algae",Storage,DF,"Resistant_starch,Resistant_oligosaccharides",Amylose_and_Amylopectin,GH15,GH15,"glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); α,α-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2)","starch,dextrin",yes,"starch,trehalose","starch,trehalose",Largely agree,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG,Mucin","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16,"xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-β-galactosidase (EC 3.2.1.103); endo-1,3-β-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-β-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); β-agarase (EC 3.2.1.81); κ-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-β-1,3-galactanase (EC 3.2.1.181); [retaining] β-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-β-1,4-galactosidase (EC 3.2.1.-); chitin β-1,6-glucanosyltransferase (EC 2.4.1.-); β-transglycosidase (EC 2.4.1.-); β-glycosidase (EC 3.2.1.-); β-carrageenase (EC 3.2.1.-)","beta-glucan,xyloglucan,glucomannan,galactan,arabinogalactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin,mucin_glycan",yes,"agarose,arabinogalactan proteins,beta-1,3-glucan,beta-1,3-glucan (fungi, algae, plant),beta-1,3-1,4-glucan (laminarin, lichenin and cereal D-glucans),carrageenan,chitin,exopolysaccharides (bacteria),mucin-type O-glycans,keratan sulfate (host glycan),hyaluronate (glycosaminoglycan of host glycan),porphyran (red algal beta-galactose-sulfate),xyloglucan (plant),xyloglucan","agarose,arabinogalactan protein,beta-glucan,carrageenan,chitin,exo-polysaccharide,host glycan,porphyran,xyloglucan","Agree, in favor of dbCAN with minor edit (see comments)","based on reported function, arabinogalactan needed to be included",,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Storage","DF,GAG",NSP,"Hemicellulose,Glycoprotein",GH16,GH16_1,"[retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);[retaining] b-glucanase (EC 3.2.1.-);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,hyaluronan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_2,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,"NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin",GH16,GH16_3,"endo-b-1,4-galactosidase (EC 3.2.1.-);b-glucosidase (EC 3.2.1.21);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,glucomannan,galactan,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,Hemicellulose,GH16,GH16_4,"endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39)","beta-glucan,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH16,GH16_5,"endo-1,3(4)-β-glucanase","beta-glucan,xyloglucan,glucomannan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_6,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_7,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
Animal,Structural,"DF,Mucin",NSP,Glycoprotein,GH16,GH16_8,"endo-b-1,4-galactosidase (EC 3.2.1.-);b-galactosidase (EC 3.2.1.23)","galactan,mucin_glycan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_9,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Algae",Structural,DF,NSP,"Gum,Pectin,Glycoprotein",GH16,GH16_10,"endo-b-1,3-galactanase (EC 3.2.1.181)","galactan,arabinogalactan",yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_11,[retaining] b-porphyranase (EC 3.2.1.178),porphyran,yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_12,[retaining] b-porphyranase (EC 3.2.1.178),porphyran,yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_13,b-carrageenase (EC 3.2.1.-);k-carrageenase (EC 3.2.1.83),carragenan,yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_14,b-agarase (EC 3.2.1.81),agar,yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_15,b-agarase (EC 3.2.1.81),agar,yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_16,[retaining] b-porphyranase (EC 3.2.1.178);b-agarase (EC 3.2.1.81),"agar,porphyran",yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_17,k-carrageenase (EC 3.2.1.83),carragenan,yes,,,,,,,,,,,,,,,,
"Algae,Animal,Fungi","Storage,Structural",DF,NSP,Chitin,GH16,GH16_18,"b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39)","chitin,laminarin",yes,,,,,,,,,,,,,,,,
"Animal,Fungi",Structural,DF,NSP,Chitin,GH16,GH16_19,"chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-)",chitin,yes,,,,,,,,,,,,,,,,
Plant,Structural,DF,NSP,Hemicellulose,GH16,GH16_20,"xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151)","beta-glucan,xyloglucan",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH16,GH16_21,"b-glycosidase (EC 3.2.1.-);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,glucomannan,lichenin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_22,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae,Animal","Structural,Structural_or_Storage,Storage","DF,GAG","NSP,Resistant_oligosaccharides","Hemicellulose,Mannans_and_Heteromannans,Pectin,Gum,Glycoprotein",GH16,GH16_23,"NO ACTIVITY [retaining] b-1,3-glucanosyltransglucosidase (EC 2.4.1.-);b-transglycosidase (EC 2.4.1.-);chitin b-1,3/1,6-glucanosyltransferase (EC 2.4.1.-);xyloglucan:xyloglucosyl transferase (EC 2.4.1.207);GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-);[retaining] b-glucanase (EC 3.2.1.-);b-carrageenase (EC 3.2.1.-);b-glycosidase (EC 3.2.1.-);endo-b-1,4-galactosidase (EC 3.2.1.-);keratan-sulfate endo-b-1,4-galactosidase / keratanase (EC 3.2.1.103);xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);[retaining] b-porphyranase (EC 3.2.1.178);endo-b-1,3-galactanase (EC 3.2.1.181);b-glucosidase (EC 3.2.1.21);b-galactosidase (EC 3.2.1.23);hyaluronidase / hyaluronoglucosaminidase (EC 3.2.1.35);endo-b-1,3-glucanase / laminarinase (EC 3.2.1.39);endo-b-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73);b-agarase (EC 3.2.1.81);k-carrageenase (EC 3.2.1.83)","beta-glucan,xyloglucan,glucomannan,galactan,chitin,keratan,hyaluronan,agar,carragenan,porphyran,lichenin,laminarin",yes,,,,,,,,,,,,,,,,
"Animal,Bacteria",Structural,Unknown,Unknown,Unknown,GH16,GH16_24,"GlcNAc-a-1,4-Gal-releasing endo-b-galactosidase (EC 3.2.1.-)","GlcNAc,GalNAc",yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi,Algae","Structural,Structural_or_Storage,Storage",DF,NSP,"Hemicellulose,Mannans_and_Heteromannans",GH16,GH16_25,"b-glycosidase (EC 3.2.1.-);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,glucomannan,lichenin",yes,,,,,,,,,,,,,,,,
Algae,Structural,DF,NSP,Unknown,GH16,GH16_26,[retaining] b-porphyranase (EC 3.2.1.178),porphyran,yes,,,,,,,,,,,,,,,,
"Plant,Bacteria,Fungi","Structural,Storage",DF,NSP,Hemicellulose,GH16,GH16_27,"xyloglucan-specific endo-b-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151);lichenase / endo-b-1,3-1,4-glucanase (EC 3.2.1.73)","beta-glucan,xyloglucan,lichenin",yes,,,,,,,,,,,,,,,,
